iter	Passed	Remaining
0	1	152
1	2	133
2	3	126
3	4	117
4	6	115
5	7	113
6	8	112
7	9	111
8	10	110
9	12	108
10	13	106
11	14	105
12	15	103
13	16	102
14	17	101
15	19	100
16	20	99
17	21	98
18	23	98
19	24	97
20	25	96
21	26	94
22	27	93
23	29	92
24	30	90
25	31	89
26	32	88
27	33	87
28	35	85
29	36	84
30	37	83
31	38	82
32	40	81
33	41	80
34	42	78
35	43	77
36	44	76
37	46	75
38	47	74
39	48	73
40	49	71
41	50	69
42	51	68
43	52	67
44	54	66
45	55	64
46	56	63
47	57	62
48	58	61
49	60	60
50	61	58
51	62	57
52	63	56
53	64	55
54	65	53
55	67	52
56	68	51
57	69	50
58	71	49
59	73	48
60	74	47
61	76	46
62	77	45
63	78	44
64	80	43
65	81	41
66	83	40
67	84	39
68	85	38
69	87	37
70	88	36
71	89	34
72	91	33
73	92	32
74	93	31
75	95	30
76	96	28
77	98	27
78	99	26
79	100	25
80	101	23
81	103	22
82	104	21
83	105	20
84	107	18
85	108	17
86	109	16
87	111	15
88	112	13
89	114	12
90	115	11
91	116	10
92	118	8
93	119	7
94	120	6
95	122	5
96	123	3
97	124	2
98	127	1
99	129	0
