iter	Passed	Remaining
0	259	259010
1	261	130424
2	263	87668
3	266	66245
4	267	53330
5	269	44668
6	271	38455
7	274	34026
8	276	30400
9	277	27480
10	279	25092
11	280	23095
12	281	21406
13	284	20025
14	286	18780
15	287	17709
16	289	16746
17	291	15890
18	292	15115
19	293	14404
20	295	13779
21	297	13209
22	298	12677
23	300	12234
24	302	11788
25	303	11365
26	304	10976
27	305	10614
28	307	10299
29	309	9991
30	310	9706
31	312	9446
32	315	9251
33	317	9023
34	318	8791
35	320	8575
36	321	8367
37	322	8166
38	323	7974
39	324	7796
40	325	7622
41	326	7454
42	327	7296
43	329	7167
44	331	7035
45	332	6900
46	334	6773
47	334	6643
48	335	6516
49	336	6395
50	337	6282
51	339	6182
52	340	6088
53	342	5994
54	343	5905
55	346	5845
56	348	5768
57	350	5685
58	350	5598
59	351	5513
60	352	5431
61	353	5352
62	354	5276
63	355	5201
64	356	5130
65	357	5059
66	359	5005
67	360	4940
68	361	4878
69	362	4815
70	363	4757
71	364	4696
72	365	4637
73	366	4580
74	366	4524
75	367	4470
76	368	4417
77	369	4365
78	370	4314
79	370	4265
80	371	4216
81	372	4169
82	373	4128
83	375	4091
84	376	4048
85	376	4006
86	377	3963
87	378	3923
88	379	3883
89	380	3843
90	380	3805
91	381	3767
92	382	3731
93	383	3695
94	384	3659
95	385	3625
96	385	3592
97	386	3559
98	387	3529
99	389	3504
100	390	3473
101	391	3443
102	391	3413
103	392	3383
104	393	3354
105	394	3326
106	395	3298
107	395	3270
108	396	3243
109	397	3216
110	398	3190
111	399	3166
112	400	3143
113	401	3119
114	402	3094
115	404	3078
116	404	3055
117	405	3032
118	406	3009
119	407	2987
120	408	2965
121	408	2942
122	409	2920
123	410	2899
124	411	2878
125	412	2858
126	412	2837
127	413	2819
128	414	2800
129	415	2781
130	416	2762
131	417	2743
132	418	2731
133	420	2715
134	421	2697
135	421	2680
136	422	2662
137	423	2645
138	424	2628
139	425	2611
140	425	2594
141	426	2576
142	427	2560
143	428	2545
144	429	2529
145	429	2514
146	430	2499
147	431	2483
148	432	2469
149	434	2460
150	435	2446
151	435	2432
152	436	2417
153	437	2403
154	438	2389
155	439	2375
156	439	2362
157	440	2348
158	441	2336
159	442	2323
160	443	2309
161	443	2296
162	444	2284
163	445	2271
164	446	2259
165	447	2246
166	448	2238
167	450	2229
168	451	2218
169	452	2206
170	453	2196
171	454	2185
172	454	2174
173	456	2165
174	457	2156
175	458	2146
176	459	2135
177	460	2125
178	461	2115
179	462	2105
180	464	2101
181	465	2090
182	466	2080
183	466	2070
184	467	2059
185	468	2049
186	469	2040
187	470	2032
188	471	2022
189	472	2012
190	472	2003
191	473	1993
192	474	1984
193	475	1974
194	476	1965
195	476	1956
196	478	1948
197	479	1942
198	480	1933
199	481	1924
200	482	1916
201	482	1907
202	483	1899
203	484	1890
204	485	1882
205	486	1873
206	486	1865
207	487	1857
208	488	1848
209	489	1841
210	490	1833
211	491	1825
212	491	1817
213	492	1810
214	494	1806
215	495	1798
216	496	1790
217	497	1783
218	497	1775
219	498	1768
220	499	1760
221	500	1753
222	501	1746
223	501	1738
224	502	1731
225	503	1724
226	504	1717
227	505	1710
228	506	1704
229	506	1697
230	508	1691
231	509	1687
232	510	1681
233	511	1674
234	512	1668
235	513	1661
236	514	1654
237	514	1648
238	515	1641
239	516	1634
240	517	1628
241	517	1622
242	518	1615
243	519	1609
244	520	1603
245	521	1597
246	521	1591
247	522	1585
248	524	1582
249	525	1576
250	526	1570
251	527	1564
252	527	1558
253	528	1552
254	529	1547
255	530	1541
256	531	1535
257	531	1529
258	532	1524
259	533	1518
260	534	1513
261	535	1507
262	536	1502
263	536	1496
264	537	1491
265	539	1487
266	539	1482
267	540	1476
268	541	1471
269	542	1466
270	543	1460
271	543	1455
272	544	1450
273	545	1445
274	546	1440
275	547	1435
276	547	1430
277	548	1425
278	549	1420
279	550	1415
280	551	1410
281	553	1408
282	554	1404
283	555	1400
284	556	1395
285	557	1391
286	558	1386
287	559	1382
288	559	1377
289	560	1372
290	561	1368
291	562	1363
292	563	1358
293	564	1354
294	564	1349
295	565	1345
296	566	1341
297	568	1339
298	569	1335
299	570	1330
300	571	1326
301	571	1321
302	572	1317
303	573	1312
304	574	1308
305	575	1304
306	575	1299
307	576	1295
308	577	1291
309	578	1287
310	579	1283
311	579	1278
312	580	1274
313	583	1273
314	584	1270
315	585	1266
316	586	1262
317	587	1258
318	587	1254
319	588	1250
320	589	1246
321	590	1242
322	591	1238
323	591	1234
324	592	1230
325	593	1226
326	594	1223
327	595	1219
328	596	1215
329	597	1213
330	599	1210
331	599	1206
332	600	1203
333	601	1199
334	602	1195
335	603	1191
336	603	1188
337	604	1184
338	605	1180
339	606	1176
340	607	1173
341	607	1169
342	608	1166
343	609	1162
344	610	1158
345	611	1155
346	612	1153
347	614	1150
348	614	1147
349	615	1143
350	616	1140
351	617	1136
352	618	1133
353	619	1129
354	619	1126
355	620	1122
356	621	1119
357	622	1116
358	623	1112
359	624	1109
360	624	1106
361	625	1102
362	626	1099
363	628	1098
364	629	1094
365	630	1091
366	631	1088
367	631	1085
368	632	1081
369	633	1078
370	634	1075
371	635	1072
372	635	1068
373	636	1066
374	637	1062
375	638	1059
376	639	1056
377	640	1053
378	640	1050
379	641	1047
380	643	1045
381	644	1043
382	645	1040
383	646	1037
384	647	1034
385	648	1031
386	649	1028
387	650	1025
388	651	1022
389	651	1019
390	652	1016
391	653	1013
392	654	1010
393	655	1007
394	655	1004
395	656	1001
396	658	1000
397	659	997
398	660	994
399	660	991
400	661	988
401	662	985
402	663	982
403	664	979
404	664	976
405	665	973
406	666	971
407	667	968
408	668	965
409	668	962
410	669	959
411	670	956
412	671	954
413	673	952
414	674	950
415	674	947
416	675	944
417	676	941
418	677	939
419	678	936
420	678	933
421	679	931
422	680	928
423	681	925
424	682	923
425	683	920
426	683	917
427	684	915
428	685	912
429	686	910
430	688	908
431	689	906
432	690	903
433	690	901
434	691	898
435	692	895
436	693	893
437	694	890
438	695	888
439	695	885
440	696	882
441	697	880
442	698	877
443	699	875
444	699	872
445	700	870
446	702	868
447	703	866
448	704	864
449	705	862
450	706	860
451	707	858
452	709	856
453	710	854
454	711	852
455	712	849
456	713	847
457	714	845
458	715	842
459	715	840
460	717	838
461	718	836
462	719	834
463	720	831
464	721	829
465	721	827
466	722	824
467	723	822
468	724	819
469	724	817
470	725	815
471	726	812
472	727	810
473	728	808
474	728	805
475	729	803
476	730	800
477	731	798
478	734	798
479	735	796
480	735	794
481	736	791
482	737	789
483	738	787
484	739	784
485	740	782
486	740	780
487	741	778
488	742	775
489	743	773
490	744	771
491	744	769
492	745	766
493	746	764
494	748	763
495	749	761
496	750	759
497	751	757
498	752	755
499	753	753
500	754	751
501	754	748
502	755	746
503	756	744
504	757	742
505	758	740
506	758	738
507	759	735
508	760	733
509	761	731
510	763	730
511	764	728
512	765	726
513	766	724
514	767	722
515	767	720
516	768	718
517	769	716
518	770	713
519	771	711
520	771	709
521	772	707
522	773	705
523	774	703
524	775	701
525	775	699
526	777	697
527	779	696
528	779	694
529	780	692
530	781	690
531	782	688
532	783	686
533	783	684
534	784	682
535	785	679
536	786	677
537	787	675
538	787	673
539	788	672
540	789	670
541	790	668
542	791	666
543	793	664
544	794	662
545	794	660
546	795	658
547	796	657
548	797	655
549	798	653
550	798	651
551	799	649
552	800	647
553	801	645
554	802	643
555	803	641
556	804	639
557	804	637
558	805	635
559	806	633
560	808	632
561	809	630
562	810	628
563	810	626
564	811	624
565	812	622
566	813	621
567	814	619
568	814	617
569	815	615
570	816	613
571	817	611
572	818	609
573	819	608
574	820	606
575	821	604
576	823	603
577	824	601
578	825	600
579	826	598
580	826	596
581	827	594
582	828	592
583	829	590
584	830	588
585	831	587
586	832	585
587	833	583
588	834	582
589	834	580
590	835	578
591	836	576
592	838	575
593	839	573
594	840	572
595	841	570
596	842	568
597	843	566
598	844	565
599	844	563
600	845	561
601	846	559
602	847	557
603	848	556
604	849	554
605	849	552
606	850	550
607	851	548
608	853	548
609	854	546
610	855	544
611	856	543
612	857	541
613	858	539
614	859	537
615	860	536
616	860	534
617	861	532
618	862	530
619	863	529
620	864	527
621	865	525
622	865	523
623	866	522
624	868	521
625	869	519
626	870	517
627	871	515
628	872	514
629	872	512
630	873	510
631	874	509
632	875	507
633	876	505
634	877	504
635	877	502
636	878	500
637	879	499
638	880	497
639	881	495
640	882	494
641	884	493
642	885	491
643	886	489
644	887	488
645	888	486
646	888	484
647	889	483
648	890	481
649	891	479
650	892	478
651	893	476
652	893	475
653	894	473
654	895	471
655	896	470
656	898	468
657	899	467
658	900	465
659	900	464
660	901	462
661	902	460
662	903	459
663	904	457
664	905	455
665	905	454
666	906	452
667	907	451
668	908	449
669	909	447
670	909	446
671	910	444
672	911	443
673	913	441
674	914	440
675	915	438
676	916	437
677	916	435
678	917	433
679	918	432
680	919	430
681	920	429
682	921	427
683	921	425
684	922	424
685	923	422
686	924	421
687	925	419
688	928	419
689	930	417
690	931	416
691	932	414
692	933	413
693	934	412
694	936	410
695	936	409
696	937	407
697	938	406
698	939	404
699	940	403
700	941	401
701	943	400
702	946	399
703	947	398
704	948	396
705	949	395
706	950	393
707	951	392
708	952	391
709	953	389
710	954	387
711	955	386
712	955	384
713	956	383
714	961	383
715	962	381
716	964	380
717	967	379
718	968	378
719	969	376
720	969	375
721	970	373
722	971	372
723	974	371
724	976	370
725	977	368
726	978	367
727	979	366
728	981	364
729	982	363
730	983	361
731	984	360
732	984	358
733	986	357
734	987	356
735	990	355
736	991	353
737	992	352
738	993	351
739	995	349
740	996	348
741	997	346
742	997	345
743	998	343
744	999	342
745	1000	340
746	1001	339
747	1004	338
748	1006	337
749	1007	335
750	1008	334
751	1009	332
752	1010	331
753	1011	329
754	1012	328
755	1013	327
756	1013	325
757	1014	323
758	1015	322
759	1016	320
760	1018	319
761	1020	318
762	1021	317
763	1022	315
764	1023	314
765	1024	313
766	1025	311
767	1026	310
768	1027	308
769	1028	307
770	1029	305
771	1030	304
772	1031	302
773	1034	301
774	1036	300
775	1037	299
776	1038	297
777	1039	296
778	1039	294
779	1040	293
780	1041	292
781	1042	290
782	1043	289
783	1044	287
784	1045	286
785	1046	284
786	1048	283
787	1050	282
788	1052	281
789	1052	279
790	1053	278
791	1055	277
792	1056	275
793	1057	274
794	1058	272
795	1058	271
796	1059	269
797	1060	268
798	1061	267
799	1063	265
800	1065	264
801	1066	263
802	1067	261
803	1068	260
804	1070	259
805	1071	257
806	1072	256
807	1073	255
808	1075	253
809	1076	252
810	1080	251
811	1081	250
812	1082	248
813	1083	247
814	1083	246
815	1084	244
816	1085	243
817	1086	241
818	1087	240
819	1088	238
820	1088	237
821	1089	235
822	1090	234
823	1091	233
824	1093	231
825	1095	230
826	1096	229
827	1098	228
828	1101	227
829	1102	225
830	1104	224
831	1105	223
832	1111	222
833	1113	221
834	1115	220
835	1117	219
836	1119	217
837	1120	216
838	1125	215
839	1126	214
840	1127	213
841	1129	211
842	1130	210
843	1132	209
844	1134	208
845	1135	206
846	1139	205
847	1141	204
848	1142	203
849	1143	201
850	1145	200
851	1147	199
852	1148	197
853	1149	196
854	1151	195
855	1152	193
856	1154	192
857	1155	191
858	1156	189
859	1157	188
860	1158	187
861	1159	185
862	1160	184
863	1161	182
864	1162	181
865	1163	179
866	1163	178
867	1164	177
868	1165	175
869	1166	174
870	1168	172
871	1169	171
872	1170	170
873	1171	168
874	1172	167
875	1174	166
876	1175	164
877	1175	163
878	1176	161
879	1177	160
880	1178	159
881	1179	157
882	1180	156
883	1180	154
884	1181	153
